distCode,distName,officeCode,officeName,shopNo,address,longitude,latitude,fpsStatus,fpsType,dateTime
532,Adilabad,532009,Ichoda,1909013,Kodapa Jangubabu  TALAMADRI,78.513047,19.408227,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909015,Jadhav Srihari  DHABA-B,78.540811,19.408322,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909016,Durva Krishna  NARSAPUR,78.453784,19.430900,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909017,DR Depo Sirichelma  SIRICHELMA,78.537460,19.320820,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909018,D Tharachand  GUNDALA,78.535951,19.350124,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909020,Md Mustafa  KESHAVAPATANAM,78.492403,19.347842,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909021,Dukre Tulasiram  MANKAPUR,78.495829,19.370228,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909022,Basha Bhojanna  MALYAL,78.504714,19.395732,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909024,Sub DR Depo Babjipet  H.NO.1-56 Babjipet vg.of Ichoda,78.543469,19.281053,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910001,B Sarashwathi  Bazarhathnoor-I H.No.3-160,78.353746,19.458151,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910002,B Sarashwathi  Bazarhathnoor,78.351867,19.459706,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910003,"DR Depo Bazarhathnoor  Bazarhathnoor-III, Belding",78.354292,19.459699,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910004,"Jalke Drupatha Bai  H.No.4-14, Bazarhathnoor",78.352228,19.458595,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910005,U GIRIDHAR  DAHEGOAN-I,78.373648,19.471585,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910006,Ramelly Poshetty  DAHEGOAN-II,78.373019,19.471359,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910007,Swarnalatha  TEMBI,78.421331,19.496428,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910008,"K Ramesh Reddy  H.No.2-64/1, Pipri",78.414646,19.427122,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
